"DIVERSITY","PLOT","CA","FR","GR","HE","IN","NE","OM"
"M",3,0,0,0,0,1,0,0
"M",9,0,0,1,0,2,0,2
"M",12,0,0,0,0,2,0,1
"M",17,0,0,0,0,3,0,2
"M",20,0,0,0,0,1,0,1
"M",21,0,0,1,0,4,0,2
"M",30,0,0,0,0,2,0,1
"M",38,0,0,0,0,5,0,2
"M",39,0,0,0,0,3,0,1
"M",53,0,0,0,0,5,0,3
"M",62,0,0,0,0,2,0,0
"M",68,0,0,0,0,1,0,2
"P",1,0,0,2,0,5,0,0
"P",5,0,0,0,0,3,1,3
"P",11,0,0,0,0,4,0,2
"P",16,0,1,1,0,2,1,3
"P",25,0,0,0,0,4,1,1
"P",27,0,0,0,0,1,0,2
"P",31,0,0,0,0,10,1,3
"P",33,0,0,0,0,4,0,2
"P",36,0,1,1,0,3,0,2
"P",45,0,0,1,0,6,0,1
"P",48,0,0,1,0,5,1,3
"P",51,0,0,1,1,2,1,1
"P",54,0,0,1,0,2,0,2
"P",56,0,0,0,0,8,0,4
"P",59,0,0,0,0,1,1,0
"P",61,0,0,0,0,6,0,3
"P",64,2,0,1,0,4,0,3
"P",67,0,0,0,0,3,0,0
"P",69,1,1,0,0,4,0,2
"P",71,1,0,2,0,2,0,2
