"","CULTIVO","GENOTIPO","Parcela","X","Y","A","B","C","D","E","F","comp","exp"
"1","Policultivo","-",11,2,4,"","","C","D","E","F","CDEF","Y"
"2","Policultivo","-",64,12,3,"","B","","D","E","F","BDEF","Y"
"3","Policultivo","Poligenotipo",36,6,1,"A","","","D","E","F","ADEF","Y"
"4","Policultivo","MonoGenotipo",47,8,2,"A","","","D","E","F","ADEF","N"
"5","Policultivo","Poligenotipo",54,10,1,"A","","","D","E","F","ADEF","Y"
"6","Policultivo","MonoGenotipo",69,13,4,"A","","","D","E","F","ADEF","Y"
"7","Policultivo","-",67,13,2,"","B","C","","E","F","BCEF","Y"
"8","Policultivo","MonoGenotipo",7,1,7,"A","","C","","E","F","ACEF","N"
"9","Policultivo","Poligenotipo",48,8,3,"A","","C","","E","F","ACEF","Y"
"10","Policultivo","MonoGenotipo",63,12,2,"A","","C","","E","F","ACEF","N"
"11","Policultivo","Poligenotipo",1,1,1,"A","B","","","E","F","ABEF","Y"
"12","Policultivo","MonoGenotipo",19,3,5,"A","B","","","E","F","ABEF","N"
"13","Policultivo","Poligenotipo",59,11,2,"A","B","","","E","F","ABEF","Y"
"14","Policultivo","-",25,4,4,"","B","C","D","","F","BCDF","Y"
"15","Policultivo","Poligenotipo",27,4,6,"A","","C","D","","F","ACDF","Y"
"16","Policultivo","Poligenotipo",33,5,5,"A","","C","D","","F","ACDF","Y"
"17","Policultivo","MonoGenotipo",56,10,3,"A","","C","D","","F","ACDF","Y"
"18","Policultivo","MonoGenotipo",5,1,5,"A","B","","D","","F","ABDF","Y"
"19","Policultivo","Poligenotipo",16,3,2,"A","B","","D","","F","ABDF","Y"
"20","Policultivo","Poligenotipo",31,5,3,"A","B","C","","","F","ABCF","Y"
"21","Policultivo","MonoGenotipo",35,5,7,"A","B","C","","","F","ABCF","N"
"22","Policultivo","Poligenotipo",41,6,6,"A","B","C","","","F","ABCF","N"
"23","Monocultivo","-",17,3,3,"","","","","","F","F","Y"
"24","Monocultivo","-",53,9,4,"","","","","","F","F","Y"
"25","Policultivo","-",61,11,4,"","B","C","D","E","","BCDE","Y"
"26","Policultivo","MonoGenotipo",10,2,3,"A","","C","D","E","","ACDE","N"
"27","Policultivo","Poligenotipo",42,7,1,"A","","C","D","E","","ACDE","N"
"28","Policultivo","Poligenotipo",51,9,2,"A","","C","D","E","","ACDE","Y"
"29","Policultivo","Poligenotipo",13,2,6,"A","B","","D","E","","ABDE","N"
"30","Policultivo","MonoGenotipo",24,4,3,"A","B","","D","E","","ABDE","N"
"31","Policultivo","MonoGenotipo",29,5,1,"A","B","C","","E","","ABCE","N"
"32","Policultivo","Poligenotipo",45,7,4,"A","B","C","","E","","ABCE","Y"
"33","Monocultivo","-",12,2,5,"","","","","E","","E","Y"
"34","Monocultivo","-",62,12,1,"","","","","E","","E","Y"
"35","Policultivo","MonoGenotipo",44,7,3,"A","B","C","D","","","ABCD","N"
"36","Policultivo","Poligenotipo",71,14,1,"A","B","C","D","","","ABCD","Y"
"37","Monocultivo","-",3,1,3,"","","","D","","","D","Y"
"38","Monocultivo","-",30,5,2,"","","","D","","","D","Y"
"39","Monocultivo","-",39,6,4,"","","C","","","","C","Y"
"40","Monocultivo","-",68,13,3,"","","C","","","","C","Y"
"41","Monocultivo","-",21,3,7,"","B","","","","","B","Y"
"42","Monocultivo","-",38,6,3,"","B","","","","","B","Y"
"43","Monocultivo","MonoGenotipo",2,1,2,"A","","","","","","A","N"
"44","Monocultivo","Poligenotipo",4,1,4,"A","","","","","","A","N"
"45","Monocultivo","Poligenotipo",6,1,6,"A","","","","","","A","N"
"46","Monocultivo","MonoGenotipo",8,2,1,"A","","","","","","A","N"
"47","Monocultivo","Poligenotipo",9,2,2,"A","","","","","","A","Y"
"48","Monocultivo","MonoGenotipo",14,2,7,"A","","","","","","A","N"
"49","Monocultivo","Poligenotipo",15,3,1,"A","","","","","","A","N"
"50","Monocultivo","Poligenotipo",18,3,4,"A","","","","","","A","N"
"51","Monocultivo","Poligenotipo",20,3,6,"A","","","","","","A","Y"
"52","Monocultivo","MonoGenotipo",22,4,1,"A","","","","","","A","N"
"53","Monocultivo","Poligenotipo",23,4,2,"A","","","","","","A","N"
"54","Monocultivo","Poligenotipo",26,4,5,"A","","","","","","A","N"
"55","Monocultivo","Poligenotipo",28,4,7,"A","","","","","","A","N"
"56","Monocultivo","Poligenotipo",32,5,4,"A","","","","","","A","N"
"57","Monocultivo","MonoGenotipo",34,5,6,"A","","","","","","A","N"
"58","Monocultivo","Poligenotipo",37,6,2,"A","","","","","","A","N"
"59","Monocultivo","MonoGenotipo",40,6,5,"A","","","","","","A","N"
"60","Monocultivo","MonoGenotipo",43,7,2,"A","","","","","","A","N"
"61","Monocultivo","Poligenotipo",46,8,1,"A","","","","","","A","N"
"62","Monocultivo","Poligenotipo",49,8,4,"A","","","","","","A","N"
"63","Monocultivo","Poligenotipo",50,9,1,"A","","","","","","A","N"
"64","Monocultivo","MonoGenotipo",52,9,3,"A","","","","","","A","N"
"65","Monocultivo","Poligenotipo",55,10,2,"A","","","","","","A","N"
"66","Monocultivo","Poligenotipo",57,10,4,"A","","","","","","A","N"
"67","Monocultivo","MonoGenotipo",58,11,1,"A","","","","","","A","N"
"68","Monocultivo","MonoGenotipo",60,11,3,"A","","","","","","A","N"
"69","Monocultivo","MonoGenotipo",65,12,4,"A","","","","","","A","N"
"70","Monocultivo","Poligenotipo",66,13,1,"A","","","","","","A","N"
"71","Monocultivo","Poligenotipo",70,13,5,"A","","","","","","A","N"
"72","Monocultivo","Poligenotipo",72,14,2,"A","","","","","","A","N"
"73","Monocultivo","MonoGenotipo",73,14,3,"A","","","","","","A","N"
"74","Monocultivo","Poligenotipo",74,14,4,"A","","","","","","A","N"
