PLOT,comp,A,B,C,D,E,F,row,col
3,D,0,0,0,1,0,0,3,1
9,A,1,0,0,0,0,0,2,2
12,E,0,0,0,0,1,0,5,2
17,F,0,0,0,0,0,1,3,3
20,A,1,0,0,0,0,0,6,3
21,B,0,1,0,0,0,0,7,3
30,D,0,0,0,1,0,0,2,5
38,B,0,1,0,0,0,0,3,6
39,C,0,0,1,0,0,0,4,6
53,F,0,0,0,0,0,1,4,9
62,E,0,0,0,0,1,0,1,12
68,C,0,0,1,0,0,0,3,13
1,ABEF,1,1,0,0,1,1,1,1
5,ABDF,1,1,0,1,0,1,5,1
11,CDEF,0,0,1,1,1,1,4,2
16,ABDF,1,1,0,1,0,1,2,3
25,BCDF,0,1,1,1,0,1,4,4
27,ACDF,1,0,1,1,0,1,6,4
31,ABCF,1,1,1,0,0,1,3,5
33,ACDF,1,0,1,1,0,1,5,5
36,ADEF,1,0,0,1,1,1,1,6
45,ABCE,1,1,1,0,1,0,4,7
48,ACEF,1,0,1,0,1,1,3,8
51,ACDE,1,0,1,1,1,0,2,9
54,ADEF,1,0,0,1,1,1,1,10
56,ACDF,1,0,1,1,0,1,3,10
59,ABEF,1,1,0,0,1,1,2,11
61,BCDE,0,1,1,1,1,0,4,11
64,BDEF,0,1,0,1,1,1,3,12
67,BCEF,0,1,1,0,1,1,2,13
69,ADEF,1,0,0,1,1,1,4,13
71,ABCD,1,1,1,1,0,0,1,14
